year,month,date,stock_code,stock_name,momentum_score,monthly_return
2025,7,2025-07-01,601336,新华保险,93.08221850613155,13.969035890218162
2025,7,2025-07-01,600919,江苏银行,92.99554069119287,-5.280804694048613
2025,7,2025-07-01,600570,恒生电子,92.66360089186178,12.80772826425678
2025,7,2025-07-01,600183,生益科技,92.07636566332219,40.72131147540985
2025,7,2025-07-01,600760,中航沈飞,91.40496098104794,11.701760441836395
2025,7,2025-07-01,603259,药明康德,90.4138795986622,36.166902404526155
2025,7,2025-07-01,601825,沪农商行,90.24136008918617,-8.088978766430744
2025,7,2025-07-01,601166,兴业银行,89.32413600891863,-3.864118895966029
2025,7,2025-07-01,601916,浙商银行,89.14492753623189,-2.5862068965517238
2025,7,2025-07-01,600016,民生银行,88.15273132664439,2.0876826722338038
2025,7,2025-07-01,002916,深南电路,87.98383500557415,28.02955221191099
2025,7,2025-07-01,600547,山东黄金,87.22129319955407,-11.429433051869708
2025,7,2025-07-01,601998,中信银行,86.9010590858417,-2.8469750889679735
2025,7,2025-07-01,601319,中国人保,86.32971014492755,-6.169965075669371
2025,7,2025-07-01,300394,天孚通信,85.96432552954292,33.997209184320695
2025,7,2025-07-01,600039,四川路桥,85.14604236343368,-12.618296529968443
2025,7,2025-07-01,688047,龙芯中科,84.41025641025641,-7.572022258223566
2025,7,2025-07-01,002352,顺丰控股,84.40468227424749,-5.660377358490565
2025,7,2025-07-01,002463,沪电股份,84.38405797101449,27.567445023804126
2025,7,2025-07-01,601899,紫金矿业,83.4623745819398,-3.7688442211055273
2025,7,2025-07-01,601601,中国太保,83.23355629877369,3.110377098816408
2025,7,2025-07-01,601288,农业银行,83.15217391304347,8.06174957118353
2025,7,2025-07-01,601077,渝农商行,82.99247491638796,-7.629427792915521
2025,8,2025-08-01,300502,新易盛,99.49916387959865,94.51725644386192
2025,8,2025-08-01,603259,药明康德,98.08221850613155,11.075268817204309
2025,8,2025-08-01,600111,北方稀土,97.91415830546266,57.80555555555556
2025,8,2025-08-01,300308,中际旭创,97.74358974358975,68.50401177420122
2025,8,2025-08-01,600183,生益科技,97.41471571906354,29.87804878048781
2025,8,2025-08-01,600010,包钢股份,96.16248606465999,10.276679841897241
2025,8,2025-08-01,300394,天孚通信,95.65607580824971,84.02855024100853
2025,8,2025-08-01,601138,工业富联,94.98578595317726,63.12121212121211
2025,8,2025-08-01,002463,沪电股份,94.40914158305462,27.74373259052925
2025,8,2025-08-01,002916,深南电路,94.07329988851728,46.13624621743302
2025,8,2025-08-01,601336,新华保险,93.91499442586398,8.128664237046412
2025,8,2025-08-01,600570,恒生电子,93.66360089186178,5.516464959189427
2025,8,2025-08-01,600415,小商品城,93.58305462653288,9.756097560975618
2025,8,2025-08-01,603799,华友钴业,93.57998885172798,11.770179111421243
2025,8,2025-08-01,002938,鹏鼎控股,92.73467112597547,16.11650485436893
2025,8,2025-08-01,000617,中油资本,92.4927536231884,44.58380843785634
2025,8,2025-08-01,000776,广发证券,91.24303232998885,13.133402275077554
2025,8,2025-08-01,002736,国信证券,90.4071906354515,11.41998497370398
2025,8,2025-08-01,600276,恒瑞医药,89.15384615384616,8.02479204045017
2025,8,2025-08-01,600760,中航沈飞,89.15301003344482,2.0418006430868108
2025,8,2025-08-01,300347,泰格医药,88.97435897435898,-5.223101029697075
2025,8,2025-08-01,000408,藏格矿业,88.9138795986622,17.042987407729026
2025,8,2025-08-01,300759,康龙化成,87.81521739130434,0.5315614617940279
2025,8,2025-08-01,002466,天齐锂业,86.97798216276476,14.928104575163403
2025,8,2025-08-01,688303,大全能源,86.89576365663322,21.19728915662651
2025,8,2025-08-01,601688,华泰证券,86.57497212931996,11.350796096558824
2025,8,2025-08-01,601669,中国电建,85.79877369007804,-9.202453987730053
2025,8,2025-08-01,600875,东方电气,85.30211817168338,1.7489711934156382
2025,8,2025-08-01,600588,用友网络,85.1613712374582,4.438807863031058
2025,8,2025-08-01,688082,盛美上海,83.9804905239688,24.949617089883127
